IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
103.172.110.98,4,3,0.25,116.95,0.00
103.172.110.98,4,3,0.25,118.01,0.00
103.172.110.99,4,3,0.25,118.25,0.00
103.172.110.98,4,3,0.25,118.38,0.00
103.172.110.95,4,3,0.25,118.62,0.00
103.172.110.97,4,3,0.25,119.07,0.00
103.172.110.99,4,3,0.25,119.48,0.00
103.172.110.96,4,3,0.25,120.78,0.00
103.172.110.99,4,3,0.25,121.79,0.00
103.172.110.96,4,3,0.25,122.82,0.00
103.172.110.95,4,3,0.25,125.56,0.00
103.172.110.96,4,3,0.25,125.81,0.00
103.172.110.99,4,3,0.25,126.23,0.00
103.172.110.98,4,3,0.25,126.37,0.00
103.172.110.99,4,3,0.25,126.37,0.00
103.172.110.100,4,3,0.25,126.43,0.00
103.172.110.96,4,3,0.25,126.99,0.00
103.172.110.96,4,3,0.25,127.84,0.00
103.172.110.96,4,3,0.25,128.21,0.00
103.172.110.97,4,3,0.25,128.82,0.00
103.172.111.65,4,3,0.25,129.94,0.00
103.172.110.99,4,3,0.25,130.23,0.00
103.172.111.65,4,3,0.25,130.26,0.00
103.172.111.101,4,3,0.25,130.72,0.00
103.172.110.100,4,3,0.25,131.33,0.00
103.172.110.97,4,3,0.25,132.66,0.00
103.172.111.65,4,3,0.25,133.32,0.00
103.172.110.98,4,3,0.25,133.60,0.00
103.172.111.101,4,3,0.25,134.72,0.00
103.172.110.104,4,3,0.25,134.92,0.00
103.172.111.96,4,3,0.25,135.14,0.00
103.172.110.101,4,3,0.25,135.32,0.00
103.172.111.96,4,3,0.25,135.67,0.00
103.172.110.104,4,3,0.25,136.02,0.00
103.172.110.96,4,3,0.25,136.13,0.00
103.172.111.65,4,3,0.25,136.30,0.00
103.172.111.96,4,3,0.25,136.79,0.00
103.172.110.96,4,3,0.25,137.28,0.00
103.172.110.102,4,3,0.25,137.33,0.00
103.172.111.101,4,3,0.25,137.35,0.00
103.172.111.65,4,3,0.25,137.48,0.00
103.172.110.98,4,3,0.25,137.58,0.00
103.172.110.99,4,3,0.25,137.83,0.00
103.172.111.246,4,3,0.25,138.23,0.00
103.172.111.188,4,3,0.25,138.62,0.00
103.172.111.146,4,3,0.25,138.83,0.00
103.172.111.65,4,3,0.25,140.09,0.00
103.172.111.246,4,3,0.25,140.36,0.00
103.172.111.96,4,3,0.25,140.61,0.00
103.172.110.95,4,3,0.25,141.67,0.00
103.172.111.96,4,3,0.25,141.88,0.00
103.172.111.101,4,3,0.25,142.12,0.00
103.172.110.102,4,3,0.25,142.62,0.00
103.172.111.101,4,3,0.25,142.64,0.00
103.172.110.10,4,3,0.25,142.79,0.00
103.172.111.65,4,3,0.25,142.90,0.00
103.172.111.188,4,3,0.25,143.29,0.00
103.172.111.101,4,3,0.25,143.80,0.00
103.172.111.65,4,3,0.25,143.94,0.00
103.172.111.65,4,3,0.25,144.27,0.00
103.172.111.101,4,3,0.25,144.60,0.00
103.172.110.95,4,3,0.25,144.67,0.00
103.172.111.65,4,3,0.25,144.78,0.00
103.172.110.97,4,3,0.25,145.23,0.00
103.172.110.96,4,3,0.25,145.54,0.00
103.172.111.249,4,3,0.25,145.81,0.00
103.172.111.96,4,3,0.25,145.97,0.00
103.172.111.65,4,3,0.25,145.99,0.00
158.180.87.130,4,3,0.25,146.16,0.00
103.172.111.65,4,3,0.25,146.18,0.00
103.172.111.65,4,3,0.25,146.55,0.00
103.172.110.97,4,3,0.25,146.97,0.00
103.172.110.99,4,3,0.25,148.70,0.00
103.172.111.101,4,3,0.25,148.71,0.00
103.172.111.65,4,3,0.25,149.23,0.00
103.172.111.101,4,3,0.25,149.47,0.00
156.234.127.102,4,3,0.25,149.70,0.00
103.172.110.10,4,3,0.25,149.74,0.00
103.172.110.98,4,3,0.25,150.03,0.00
158.180.72.106,4,3,0.25,150.39,0.00
103.172.110.96,4,3,0.25,150.53,0.00
5.226.179.31,4,3,0.25,150.76,0.00
103.172.111.50,4,3,0.25,150.93,0.00
103.172.111.188,4,3,0.25,150.97,0.00
156.234.127.103,4,3,0.25,151.46,0.00
103.172.111.100,4,3,0.25,151.54,0.00
103.172.111.98,4,3,0.25,152.26,0.00
